70,4,1,130,10,5,6,280,25,3,1,0.33,1,1,0,0,0,0,0,68.402973
120,3,5,15,2,8,8,135,0,3,1,1,1,0,1,0,0,0,0,33.983679
70,4,1,260,9,7,5,320,25,3,1,0.33,1,0,0,1,0,0,0,59.425505
50,4,0,140,14,8,0,330,25,3,1,0.5,1,0,0,1,0,0,0,93.704912
110,2,2,200,1,14,8,0,25,3,1,0.75,1,0,0,0,0,1,0,34.384843
110,2,2,180,1.5,10.5,10,70,25,1,1,0.75,1,0,0,0,1,0,0,29.509541
110,2,0,125,1,11,14,30,25,2,1,1,1,0,0,1,0,0,0,33.174094
130,3,2,210,2,18,8,100,25,3,1.33,0.75,1,0,0,0,1,0,0,37.038562
90,2,1,200,4,15,6,125,25,1,1,0.67,1,0,0,0,0,1,0,49.120253
90,3,0,210,5,13,5,190,25,3,1,0.67,1,0,0,0,0,0,0,53.313813
120,1,2,220,0,12,12,35,25,2,1,0.75,1,0,1,0,0,0,0,18.042851
110,6,2,290,2,17,1,105,25,1,1,1.25,1,0,0,0,1,0,0,50.764999
120,1,3,210,0,13,9,45,25,2,1,0.75,1,0,0,0,1,0,0,19.823573
110,3,2,140,2,13,7,105,25,3,1,0.5,1,0,0,0,1,0,0,40.400208
110,1,1,180,0,12,13,55,25,2,1,1,1,0,0,0,1,0,0,22.736446
110,2,0,280,0,22,3,25,25,1,1,1,1,0,0,0,0,1,0,41.445019
100,2,0,290,1,21,2,35,25,1,1,1,1,0,0,1,0,0,0,45.863324
110,1,0,90,1,13,12,20,25,2,1,1,1,0,0,1,0,0,0,35.782791
110,1,1,180,0,12,13,65,25,2,1,1,1,0,0,0,1,0,0,22.396513
110,3,3,140,4,10,7,160,25,3,1,0.5,1,0,0,1,0,0,0,40.448772
100,3,0,80,1,21,0,0,0,2,1,1,0,1,0,0,0,0,0,64.533816
110,2,0,220,1,21,3,30,25,3,1,1,1,0,0,1,0,0,0,46.895644
100,2,1,140,2,11,10,120,25,3,1,0.75,1,0,0,0,1,0,0,36.176196
100,2,0,190,1,18,5,80,25,3,1,0.75,1,0,0,0,0,1,0,44.330856
110,2,1,125,1,11,13,30,25,2,1,1,1,0,0,1,0,0,0,32.207582
110,1,0,200,1,14,11,25,25,1,1,0.75,1,0,0,1,0,0,0,31.435973
100,3,0,0,3,14,7,100,25,2,1,0.8,1,0,0,1,0,0,0,58.345141
120,3,2,160,5,12,10,200,25,3,1.25,0.67,1,0,0,0,0,0,0,40.917047
120,3,0,240,5,14,12,190,25,3,1.33,0.67,1,0,0,1,0,0,0,41.015492
110,1,1,135,0,13,12,25,25,2,1,0.75,1,0,0,0,0,0,0,28.025765
100,2,0,45,0,11,15,40,25,1,1,0.88,1,0,0,0,0,0,0,35.252444
110,1,1,280,0,15,9,45,25,2,1,0.75,1,0,0,0,1,0,0,23.804043
100,3,1,140,3,15,5,85,25,3,1,0.88,1,0,0,0,0,0,0,52.076897
110,3,0,170,3,17,3,90,25,3,1,0.25,1,0,0,0,0,0,0,53.371007
120,3,3,75,3,13,4,100,25,3,1,0.33,1,0,0,0,0,0,0,45.811716
120,1,2,220,1,12,11,45,25,2,1,1,1,0,1,0,0,0,0,21.871292
110,3,1,250,1.5,11.5,10,90,25,1,1,0.75,1,0,0,0,1,0,0,31.072217
110,1,0,180,0,14,11,35,25,1,1,1.33,1,0,0,0,0,0,0,28.742414
110,2,1,170,1,17,6,60,100,3,1,1,1,0,0,1,0,0,0,36.523683
140,3,1,170,2,20,9,95,100,3,1.3,0.75,1,0,0,1,0,0,0,36.471512
110,2,1,260,0,21,3,40,25,2,1,1.5,1,0,0,0,1,0,0,39.241114
100,4,2,150,2,12,6,95,25,2,1,0.67,1,0,1,0,0,0,0,45.328074
110,2,1,180,0,12,12,55,25,2,1,1,1,0,0,0,1,0,0,26.734515
100,4,1,0,0,16,3,95,25,2,1,1,0,0,0,0,0,0,1,54.850917
150,4,3,95,3,16,11,170,25,3,1,1,1,0,0,0,0,1,0,37.136863
150,4,3,150,3,16,11,170,25,3,1,1,1,0,0,0,0,1,0,34.139765
160,3,2,150,3,17,13,160,25,3,1.5,0.67,1,0,0,1,0,0,0,30.313351
100,2,1,220,2,15,6,90,25,1,1,1,1,0,0,0,1,0,0,40.105965
120,2,1,190,0,15,9,40,25,2,1,0.67,1,0,0,1,0,0,0,29.924285
140,3,2,220,3,21,7,130,25,3,1.33,0.67,1,0,0,1,0,0,0,40.69232
90,3,0,170,3,18,2,90,25,3,1,1,1,0,0,1,0,0,0,59.642837
130,3,2,170,1.5,13.5,10,120,25,3,1.25,0.5,1,0,0,0,1,0,0,30.450843
120,3,1,200,6,11,14,260,25,3,1.33,0.67,1,0,0,0,0,0,0,37.840594
100,3,0,320,1,20,3,45,100,3,1,1,1,0,0,1,0,0,0,41.50354
50,1,0,0,0,13,0,15,0,3,0.5,1,1,0,1,0,0,0,0,60.756112
50,2,0,0,1,10,0,50,0,3,0.5,1,1,0,1,0,0,0,0,63.005645
100,4,1,135,2,14,6,110,25,3,1,0.5,1,0,1,0,0,0,0,49.511874
100,5,2,0,2.7,0,0,110,0,1,1,0.67,0,0,1,0,0,0,0,50.828392
120,3,1,210,5,14,12,240,25,2,1.33,0.75,1,0,0,1,0,0,0,39.259197
100,3,2,140,2.5,10.5,8,140,25,3,1,0.5,1,0,0,0,1,0,0,39.7034
90,2,0,0,2,15,6,110,25,3,1,0.5,1,0,0,1,0,0,0,55.333142
110,1,0,240,0,23,2,30,25,1,1,1.13,1,0,0,0,0,1,0,41.998933
110,2,0,290,0,22,3,35,25,1,1,1,1,0,0,1,0,0,0,40.560159
80,2,0,0,3,16,0,95,0,1,0.83,1,1,1,0,0,0,0,0,68.235885
90,3,0,0,4,19,0,140,0,1,1,0.67,1,1,0,0,0,0,0,74.472949
90,3,0,0,3,20,0,120,0,1,1,0.67,1,1,0,0,0,0,0,72.801787
110,2,1,70,1,9,15,40,25,2,1,0.75,1,0,0,1,0,0,0,31.230054
110,6,0,230,1,16,3,55,25,1,1,1,1,0,0,1,0,0,0,53.131324
90,2,0,15,3,15,5,90,25,2,1,1,1,1,0,0,0,0,0,59.363993
110,2,1,200,0,21,3,35,100,3,1,1,1,0,0,0,1,0,0,38.839746
140,3,1,190,4,15,14,230,100,3,1.5,1,1,0,0,0,1,0,0,28.592785
100,3,1,200,3,16,3,110,100,3,1,1,1,0,0,0,1,0,0,46.658844
110,2,1,250,0,21,3,60,25,3,1,0.75,1,0,0,0,1,0,0,39.106174
110,1,1,140,0,13,12,25,25,2,1,1,1,0,0,0,1,0,0,27.753301
100,3,1,230,3,17,3,115,25,1,1,0.67,1,0,0,0,0,1,0,49.787445
100,3,1,200,3,17,3,110,25,1,1,1,1,0,0,0,1,0,0,51.592193
110,2,1,200,1,16,8,60,25,1,1,0.75,1,0,0,0,1,0,0,36.187559
