10,6,280,68.402973
2,8,135,33.983679
9,5,320,59.425505
14,0,330,93.704912
1,8,,34.384843
1.5,10,70,29.509541
1,14,30,33.174094
2,8,100,37.038562
4,6,125,49.120253
5,5,190,53.313813
0,12,35,18.042851
2,1,105,50.764999
0,9,45,19.823573
2,7,105,40.400208
0,13,55,22.736446
0,3,25,41.445019
1,2,35,45.863324
1,12,20,35.782791
0,13,65,22.396513
4,7,160,40.448772
1,0,,64.533816
1,3,30,46.895644
2,10,120,36.176196
1,5,80,44.330856
1,13,30,32.207582
1,11,25,31.435973
3,7,100,58.345141
5,10,200,40.917047
5,12,190,41.015492
0,12,25,28.025765
0,15,40,35.252444
0,9,45,23.804043
3,5,85,52.076897
3,3,90,53.371007
3,4,100,45.811716
1,11,45,21.871292
1.5,10,90,31.072217
0,11,35,28.742414
1,6,60,36.523683
2,9,95,36.471512
0,3,40,39.241114
2,6,95,45.328074
0,12,55,26.734515
0,3,95,54.850917
3,11,170,37.136863
3,11,170,34.139765
3,13,160,30.313351
2,6,90,40.105965
0,9,40,29.924285
3,7,130,40.69232
3,2,90,59.642837
1.5,10,120,30.450843
6,14,260,37.840594
1,3,45,41.50354
0,0,15,60.756112
1,0,50,63.005645
2,6,110,49.511874
2.7,,110,50.828392
5,12,240,39.259197
2.5,8,140,39.7034
2,6,110,55.333142
0,2,30,41.998933
0,3,35,40.560159
3,0,95,68.235885
4,0,140,74.472949
3,0,120,72.801787
1,15,40,31.230054
1,3,55,53.131324
3,5,90,59.363993
0,3,35,38.839746
4,14,230,28.592785
3,3,110,46.658844
0,3,60,39.106174
0,12,25,27.753301
3,3,115,49.787445
3,3,110,51.592193
1,8,60,36.187559
