14,0,330,93.705
4,0,140,74.473
3,0,120,72.802
3,0,95,68.236
1,0,50,63.006
0,0,15,60.756
1,0,0,64.534
2,1,105,50.765
3,2,90,59.643
1,2,35,45.863
0,2,30,41.999
3,3,115,49.787
3,3,110,46.659
3,3,110,51.592
0,3,95,54.851
3,3,90,53.371
0,3,60,39.106
1,3,55,53.131
1,3,45,41.504
0,3,40,39.241
0,3,35,40.560
0,3,35,38.840
1,3,30,46.896
0,3,25,41.445
3,4,100,45.812
9,5,320,59.426
5,5,190,53.314
3,5,90,59.364
3,5,85,52.077
1,5,80,44.331
10,6,280,68.403
4,6,125,49.120
2,6,110,49.512
2,6,110,55.333
2,6,95,45.328
2,6,90,40.106
1,6,60,36.524
4,7,160,40.449
3,7,130,40.692
2,7,105,40.400
3,7,100,58.345
2.5,8,140,39.703
2,8,135,33.984
2,8,100,37.039
1,8,60,36.188
1,8,0,34.385
2,9,95,36.472
0,9,45,19.824
0,9,45,23.804
0,9,40,29.924
5,10,200,40.917
2,10,120,36.176
1.5,10,120,30.451
1.5,10,90,31.072
1.5,10,70,29.510
3,11,170,37.137
3,11,170,34.140
1,11,45,21.871
0,11,35,28.742
1,11,25,31.436
5,12,240,39.259
5,12,190,41.015
0,12,55,26.735
0,12,35,18.043
0,12,25,28.026
0,12,25,27.753
1,12,20,35.783
3,13,160,30.313
0,13,65,22.397
0,13,55,22.736
1,13,30,32.208
6,14,260,37.841
4,14,230,28.593
1,14,30,33.174
0,15,40,35.252
1,15,40,31.230
2.7,0,110,50.828
